DataHora,RA,Idade1,Tempo1,Idade2,Tempo2,Idade3,Tempo3
18/03/2016 18:58:55,183865,23,49,22,43,20,39
19/03/2016 14:51:43,182805,34,60,38,61,26,48
19/03/2016 15:33:17,175482,87,105,51,69,53,66
21/03/2016 10:27:45,940169,111,110,54,110,5,20
21/03/2016 11:46:11,165439,24,48,24,39,22,44
21/03/2016 11:52:05,171473,29,60,22,51,22,51
21/03/2016 12:11:46,185614,28,55,31,54,30,52
21/03/2016 12:16:55,169616,29,57,22,48,22,47
21/03/2016 12:27:25,166175,23,50,22,48,20,47
21/03/2016 13:07:22,174581,25,52,24,47,25,49
21/03/2016 13:14:20,157576,49,70,35,54,31,50
21/03/2016 14:29:29,184353,23,51,20,46,20,41
21/03/2016 14:46:08,168462,20,47,20,43,28,52
21/03/2016 14:46:53,186872,47,72,49,69,40,55
21/03/2016 14:47:24,183544,26,56,29,57,24,50
21/03/2016 14:51:26,177332,35,58,26,48,28,47
21/03/2016 15:54:31,178797,25,51,24,48,26,47
21/03/2016 16:18:06,175779,70,119,70,117,68,109
21/03/2016 17:05:09,166911,24,50,25,52,22,48
21/03/2016 17:11:33,188228,31,57,28,53,32,49
21/03/2016 17:21:58,174853,22,50,20,45,20,45
21/03/2016 17:30:27,175293,57,104,57,102,51,77
21/03/2016 17:30:58,177640,32,61,24,50,32,57
21/03/2016 18:10:53,185812,35,55,35,51,36,48
21/03/2016 18:35:42,173261,21,49,20,45,20,43
21/03/2016 18:37:44,137408,21,49,23,49,22,39
21/03/2016 19:28:29,185560,22,51,20,46,20,46
21/03/2016 19:52:51,185150,23,49,24,41,20,37
21/03/2016 20:18:31,169955,25,55,20,47,20,46
21/03/2016 20:24:04,188247,40,66,31,56,26,51
21/03/2016 20:31:07,177105,32,58,28,48,28,43
21/03/2016 20:32:10,183881,25,56,22,50,22,51
21/03/2016 20:37:17,174295,23,53,24,53,24,53
21/03/2016 20:43:22,175995,32,65,32,66,27,58
21/03/2016 20:46:56,185568,35,55,26,50,25,49
21/03/2016 20:55:03,165275,42,65,46,68,41,61
21/03/2016 21:43:01,166898,48,68,30,45,30,42
21/03/2016 21:49:10,183860,36,56,33,54,28,47
21/03/2016 22:28:07,166270,21,49,20,44,22,45
22/03/2016 12:14:53,174310,55,87,35,60,36,59
22/03/2016 14:02:11,175904,22,51,23,52,25,54
22/03/2016 15:33:00,166253,48,73,32,53,36,57
22/03/2016 15:41:08,185090,28,60,25,55,23,52
22/03/2016 15:54:08,177484,34,64,28,55,29,54
22/03/2016 16:32:27,164912,23,52,23,53,23,52
22/03/2016 16:33:26,164912,23,52,23,53,23,52
22/03/2016 17:56:05,185119,80,97,70,79,56,67
22/03/2016 17:57:37,177758,56,82,33,55,44,62
22/03/2016 18:39:52,175376,47,71,54,71,42,59
22/03/2016 18:56:26,174810,30,58,23,49,31,57
22/03/2016 19:26:06,176308,26,53,22,45,22,47
22/03/2016 19:33:42,182194,31,60,25,49,29,49
22/03/2016 22:05:53,1637,28,59,25,55,25,55
22/03/2016 22:59:45,172625,33,55,29,48,29,48
23/03/2016 09:26:55,175044,35,66,25,50,31,54
23/03/2016 11:59:16,148945,78,96,46,58,52,61
23/03/2016 13:35:27,163353,25,53,28,52,26,51
23/03/2016 16:25:12,170409,42,60,30,44,42,45
23/03/2016 20:34:44,120241,52,78,35,54,26,53
24/03/2016 11:08:31,160426,50,92,35,71,28,60
24/03/2016 13:39:22,178486,24,53,20,47,20,41
24/03/2016 17:16:11,183670,22,46,22,42,24,47
24/03/2016 17:18:16,173733,34,64,29,57,35,61
24/03/2016 17:20:15,186914,39,62,41,62,35,53
25/03/2016 09:48:27,178254,104,79,49,61,54,66
25/03/2016 20:45:35,157517,22,51,20,44,20,45
25/03/2016 22:40:44,173006,32,65,37,63,39,62
25/03/2016 23:37:59,155990,110,120,55,90,40,80
26/03/2016 12:41:04,122794,46,80,35,66,32,59
26/03/2016 16:37:10,170018,42,70,42,70,30,62
26/03/2016 20:11:59,174471,26,53,22,46,24,51
26/03/2016 20:38:29,177261,75,123,79,123,53,119
26/03/2016 22:05:10,167871,20,43,22,46,22,38
26/03/2016 22:17:24,174080,105,100,68,64,88,70
27/03/2016 11:49:04,182213,36,62,28,52,24,46
27/03/2016 14:40:01,184006,120,133,31,84,26,56
27/03/2016 23:35:23,175696,36,62,26,47,32,48
28/03/2016 12:12:39,174830,56,59,54,57,40,47
28/03/2016 15:30:39,186941,43,67,35,58,31,53
28/03/2016 15:33:10,186941,43,67,35,58,31,53
28/03/2016 16:28:03,82717,30,54,32,52,30,48
